"Treatment","DHH","DHScore","DHD","DHH8.29","DHScore8.29","DHH9.3","DHScore9.3","DHH9.4","DHScore9.4","DHH9.5","DHScore9.5","DHH9.6","DHScore9.6","DHH9.7","DHScore9.7"
"Control",149.3,125.4,6.222,0,0,88,95.41,109.3,114.8,117,117.4,123.3,118.9,129.7,120.7
"Effluent",129.3,82.73,5.389,0,0,83,62.4,102.3,77.7,107,78.89,112.3,79.81,118.7,80.67
"Guano",163.3,105.2,6.805,0,0,87,76.09,108.7,94.18,116.7,96.59,126.7,98.44,139.7,100.8
"Inorganic",148.7,102.4,6.194,0,0,85.33,78.25,106.7,94.48,114,96.18,122.7,98.21,133.3,100.3
