Date_Time,variable,value
7/4/2023 13:01,MA1,24.375
7/4/2023 13:31,MA1,24.5
7/4/2023 14:01,MA1,24.75
7/4/2023 14:31,MA1,24.875
7/4/2023 15:01,MA1,25
7/4/2023 15:31,MA1,25.125
7/4/2023 16:01,MA1,25.125
7/4/2023 16:31,MA1,25.125
7/4/2023 17:01,MA1,25.125
7/4/2023 17:31,MA1,25
7/4/2023 18:01,MA1,25
7/4/2023 18:31,MA1,24.875
7/4/2023 19:01,MA1,24.875
7/4/2023 19:31,MA1,24.75
7/4/2023 20:01,MA1,24.625
7/4/2023 20:31,MA1,24.625
7/4/2023 21:01,MA1,24.5
7/4/2023 21:31,MA1,24.5
7/4/2023 22:01,MA1,24.375
7/4/2023 22:31,MA1,24.375
7/4/2023 23:01,MA1,24.375
7/4/2023 23:31,MA1,24.25
7/5/2023 0:01,MA1,24.25
7/5/2023 0:31,MA1,24.25
7/5/2023 1:01,MA1,24.125
7/5/2023 1:31,MA1,24
7/5/2023 2:01,MA1,24
7/5/2023 2:31,MA1,23.875
7/5/2023 3:01,MA1,23.875
7/5/2023 3:31,MA1,23.75
7/5/2023 4:01,MA1,23.75
7/5/2023 4:31,MA1,23.625
7/5/2023 5:01,MA1,23.5
7/5/2023 5:31,MA1,23.5
7/5/2023 6:01,MA1,23.5
7/5/2023 6:31,MA1,23.375
7/5/2023 7:01,MA1,23.375
7/5/2023 7:31,MA1,23.375
7/5/2023 8:01,MA1,23.375
7/3/2023 10:01,MA2,24.5
7/3/2023 10:31,MA2,23.875
7/3/2023 11:01,MA2,23.5
7/3/2023 11:31,MA2,23.25
7/3/2023 12:01,MA2,23
7/3/2023 12:31,MA2,22.75
7/3/2023 13:01,MA2,22.625
7/3/2023 13:31,MA2,22.5
7/3/2023 14:01,MA2,22.375
7/3/2023 14:31,MA2,22.375
7/3/2023 15:01,MA2,22.25
7/3/2023 15:31,MA2,22.25
7/3/2023 16:01,MA2,22.25
7/3/2023 16:31,MA2,22.25
7/3/2023 17:01,MA2,22.25
7/3/2023 17:31,MA2,22.25
7/3/2023 18:01,MA2,22.25
7/3/2023 18:31,MA2,22.125
7/3/2023 19:01,MA2,22.125
7/3/2023 19:31,MA2,22
7/3/2023 20:01,MA2,21.875
7/3/2023 20:31,MA2,21.75
7/3/2023 21:01,MA2,21.625
7/3/2023 21:31,MA2,21.5
7/3/2023 22:01,MA2,21.375
7/3/2023 22:31,MA2,21.25
7/3/2023 23:01,MA2,21.25
7/3/2023 23:31,MA2,21.25
7/4/2023 0:01,MA2,21.25
7/4/2023 0:31,MA2,21.375
7/4/2023 1:01,MA2,21.5
7/4/2023 1:31,MA2,21.75
7/4/2023 2:01,MA2,21.75
7/4/2023 2:31,MA2,21.875
7/4/2023 3:01,MA2,22
7/4/2023 3:31,MA2,22.125
7/4/2023 4:01,MA2,22.125
7/4/2023 4:31,MA2,22.25
7/4/2023 5:01,MA2,22.25
7/4/2023 5:31,MA2,22.375
7/4/2023 6:01,MA2,22.5
7/4/2023 6:31,MA2,22.5
7/4/2023 7:01,MA2,22.625
7/4/2023 7:31,MA2,22.875
7/4/2023 8:01,MA2,23
7/4/2023 8:31,MA2,23.125
7/4/2023 9:01,MA2,23.375
7/4/2023 9:31,MA2,23.5
7/4/2023 10:01,MA2,23.625
7/4/2023 10:31,MA2,23.75
7/4/2023 11:01,MA2,23.875
7/4/2023 11:31,MA2,24
7/4/2023 12:01,MA2,24.125
7/4/2023 12:31,MA2,24.25
7/4/2023 13:01,MA2,24.5
7/4/2023 13:31,MA2,24.625
7/4/2023 14:01,MA2,24.75
7/4/2023 14:31,MA2,24.875
7/4/2023 15:01,MA2,25.125
7/4/2023 15:31,MA2,25.125
7/4/2023 16:01,MA2,25.125
7/4/2023 16:31,MA2,25.125
7/4/2023 17:01,MA2,25
7/4/2023 17:31,MA2,25
7/4/2023 18:01,MA2,25
7/4/2023 18:31,MA2,25
7/4/2023 19:01,MA2,24.875
7/4/2023 19:31,MA2,24.75
7/4/2023 20:01,MA2,24.75
7/4/2023 20:31,MA2,24.625
7/4/2023 21:01,MA2,24.625
7/4/2023 21:31,MA2,24.5
7/4/2023 22:01,MA2,24.5
7/4/2023 22:31,MA2,24.375
7/4/2023 23:01,MA2,24.375
7/4/2023 23:31,MA2,24.375
7/5/2023 0:01,MA2,24.25
7/5/2023 0:31,MA2,24.25
7/5/2023 1:01,MA2,24.125
7/5/2023 1:31,MA2,24.125
7/5/2023 2:01,MA2,24
7/5/2023 2:31,MA2,24
7/5/2023 3:01,MA2,23.875
7/5/2023 3:31,MA2,23.875
7/5/2023 4:01,MA2,23.75
7/5/2023 4:31,MA2,23.625
7/5/2023 5:01,MA2,23.625
7/5/2023 5:31,MA2,23.5
7/5/2023 6:01,MA2,23.5
7/5/2023 6:31,MA2,23.375
7/5/2023 7:01,MA2,23.375
7/5/2023 7:31,MA2,23.375
7/5/2023 8:01,MA2,23.375
7/3/2023 10:01,MA3,24.5
7/3/2023 10:31,MA3,24
7/3/2023 11:01,MA3,23.625
7/3/2023 11:31,MA3,23.25
7/3/2023 12:01,MA3,23
7/3/2023 12:31,MA3,22.875
7/3/2023 13:01,MA3,22.75
7/3/2023 13:31,MA3,22.625
7/3/2023 14:01,MA3,22.5
7/3/2023 14:31,MA3,22.375
7/3/2023 15:01,MA3,22.375
7/3/2023 15:31,MA3,22.375
7/3/2023 16:01,MA3,22.375
7/3/2023 16:31,MA3,22.375
7/3/2023 17:01,MA3,22.25
7/3/2023 17:31,MA3,22.25
7/3/2023 18:01,MA3,22.25
7/3/2023 18:31,MA3,22.25
7/3/2023 19:01,MA3,22.125
7/3/2023 19:31,MA3,22
7/3/2023 20:01,MA3,22
7/3/2023 20:31,MA3,21.875
7/3/2023 21:01,MA3,21.75
7/3/2023 21:31,MA3,21.625
7/3/2023 22:01,MA3,21.5
7/3/2023 22:31,MA3,21.375
7/3/2023 23:01,MA3,21.25
7/3/2023 23:31,MA3,21.25
7/4/2023 0:01,MA3,21.375
7/4/2023 0:31,MA3,21.5
7/4/2023 1:01,MA3,21.625
7/4/2023 1:31,MA3,21.75
7/4/2023 2:01,MA3,21.875
7/4/2023 2:31,MA3,22
7/4/2023 3:01,MA3,22.125
7/4/2023 3:31,MA3,22.125
7/4/2023 4:01,MA3,22.25
7/4/2023 4:31,MA3,22.375
7/4/2023 5:01,MA3,22.375
7/4/2023 5:31,MA3,22.5
7/4/2023 6:01,MA3,22.5
