Date_Time,variable,value
7/29/2023 16:31,MA1,27.5
7/29/2023 17:01,MA1,27.5
7/29/2023 17:31,MA1,27.375
7/29/2023 18:01,MA1,27.25
7/29/2023 18:31,MA1,27.125
7/29/2023 19:01,MA1,27.125
7/29/2023 19:31,MA1,27
7/29/2023 20:01,MA1,27
7/29/2023 20:31,MA1,27
7/29/2023 21:01,MA1,27
7/29/2023 21:31,MA1,26.875
7/29/2023 22:01,MA1,26.875
7/29/2023 22:31,MA1,26.875
7/29/2023 23:01,MA1,26.875
7/29/2023 23:31,MA1,26.875
7/30/2023 0:01,MA1,26.75
7/30/2023 0:31,MA1,26.75
7/30/2023 1:01,MA1,26.75
7/30/2023 1:31,MA1,26.75
7/30/2023 2:01,MA1,26.75
7/30/2023 2:31,MA1,26.625
7/30/2023 3:01,MA1,26.625
7/30/2023 3:31,MA1,26.5
7/30/2023 4:01,MA1,26.5
7/30/2023 4:31,MA1,26.375
7/30/2023 5:01,MA1,26.25
7/30/2023 5:31,MA1,26.375
7/30/2023 6:01,MA1,26.375
7/30/2023 6:31,MA1,26.375
7/30/2023 7:01,MA1,26.375
7/30/2023 7:31,MA1,26.625
7/30/2023 8:01,MA1,26.625
7/30/2023 8:31,MA1,26.75
7/30/2023 9:01,MA1,26.875
7/30/2023 9:31,MA1,27
7/30/2023 10:01,MA1,27.25
7/30/2023 10:31,MA1,27.5
7/30/2023 11:01,MA1,27.75
7/30/2023 11:31,MA1,28
7/30/2023 12:01,MA1,28.125
7/30/2023 12:31,MA1,28.125
7/30/2023 13:01,MA1,28
7/30/2023 13:31,MA1,28
7/30/2023 14:01,MA1,27.875
7/30/2023 14:31,MA1,27.625
7/30/2023 15:01,MA1,27.5
7/30/2023 15:31,MA1,27.5
7/30/2023 16:01,MA1,27.375
7/30/2023 16:31,MA1,27.25
7/30/2023 17:01,MA1,27.25
7/30/2023 17:31,MA1,27.125
7/30/2023 18:01,MA1,27
7/30/2023 18:31,MA1,27
7/30/2023 19:01,MA1,26.875
7/30/2023 19:31,MA1,26.75
7/30/2023 20:01,MA1,26.75
7/30/2023 20:31,MA1,26.75
7/30/2023 21:01,MA1,26.75
7/30/2023 21:31,MA1,26.75
7/30/2023 22:01,MA1,26.625
7/30/2023 22:31,MA1,26.625
7/30/2023 23:01,MA1,26.5
7/30/2023 23:31,MA1,26.625
7/31/2023 0:01,MA1,26.625
7/31/2023 0:31,MA1,26.625
7/31/2023 1:01,MA1,26.625
7/31/2023 1:31,MA1,26.625
7/31/2023 2:01,MA1,26.625
7/31/2023 2:31,MA1,26.625
7/31/2023 3:01,MA1,26.625
7/31/2023 3:31,MA1,26.625
7/31/2023 4:01,MA1,26.625
7/31/2023 4:31,MA1,26.625
7/31/2023 5:01,MA1,26.5
7/31/2023 5:31,MA1,26.625
7/31/2023 6:01,MA1,26.625
7/31/2023 6:31,MA1,26.625
7/31/2023 7:01,MA1,26.625
7/31/2023 7:31,MA1,26.75
7/31/2023 8:01,MA1,26.875
7/31/2023 8:31,MA1,27
7/31/2023 9:01,MA1,27.25
7/31/2023 9:31,MA1,27.25
7/31/2023 10:01,MA1,27.375
7/31/2023 10:31,MA1,27.25
7/31/2023 11:01,MA1,27.25
7/31/2023 11:31,MA1,27.375
7/31/2023 12:01,MA1,27.625
7/31/2023 12:31,MA1,27.875
7/31/2023 13:01,MA1,27.875
7/31/2023 13:31,MA1,27.875
7/31/2023 14:01,MA1,27.625
7/31/2023 14:31,MA1,27.5
7/31/2023 15:01,MA1,27.375
7/31/2023 15:31,MA1,27.125
7/31/2023 16:01,MA1,27
7/31/2023 16:31,MA1,27
7/31/2023 17:01,MA1,27
7/31/2023 17:31,MA1,26.875
7/31/2023 18:01,MA1,26.875
7/31/2023 18:31,MA1,26.75
7/31/2023 19:01,MA1,26.625
7/31/2023 19:31,MA1,26.5
7/31/2023 20:01,MA1,26.5
7/31/2023 20:31,MA1,26.5
7/31/2023 21:01,MA1,26.375
7/31/2023 21:31,MA1,26.375
7/31/2023 22:01,MA1,26.375
7/31/2023 22:31,MA1,26.375
7/31/2023 23:01,MA1,26.375
7/31/2023 23:31,MA1,26.375
8/1/2023 0:01,MA1,26.25
8/1/2023 0:31,MA1,26.25
8/1/2023 1:01,MA1,26.25
8/1/2023 1:31,MA1,26.25
8/1/2023 2:01,MA1,26.125
8/1/2023 2:31,MA1,26.125
8/1/2023 3:01,MA1,26.125
8/1/2023 3:31,MA1,26.125
8/1/2023 4:01,MA1,26.125
8/1/2023 4:31,MA1,26.125
8/1/2023 5:01,MA1,26.25
8/1/2023 5:31,MA1,26.125
8/1/2023 6:01,MA1,26.125
8/1/2023 6:31,MA1,26
8/1/2023 7:01,MA1,26
8/1/2023 7:31,MA1,26.125
8/1/2023 8:01,MA1,26.25
8/1/2023 8:31,MA1,26.375
8/1/2023 9:01,MA1,26.625
8/1/2023 9:31,MA1,26.75
8/1/2023 10:01,MA1,27.125
8/1/2023 10:31,MA1,27.375
8/1/2023 11:01,MA1,27.625
8/1/2023 11:31,MA1,27.75
8/1/2023 12:01,MA1,28
8/1/2023 12:31,MA1,28
8/1/2023 13:01,MA1,28.125
8/1/2023 13:31,MA1,28.125
8/1/2023 14:01,MA1,28.125
8/1/2023 14:31,MA1,27.875
8/1/2023 15:01,MA1,27.625
8/1/2023 15:31,MA1,27.375
8/1/2023 16:01,MA1,27.125
8/1/2023 16:31,MA1,27.25
8/1/2023 17:01,MA1,27.375
8/1/2023 17:31,MA1,27.125
8/1/2023 18:01,MA1,26.875
8/1/2023 18:31,MA1,26.875
8/1/2023 19:01,MA1,26.75
8/1/2023 19:31,MA1,26.625
8/1/2023 20:01,MA1,26.625
8/1/2023 20:31,MA1,26.625
8/1/2023 21:01,MA1,26.5
8/1/2023 21:31,MA1,26.5
8/1/2023 22:01,MA1,26.5
8/1/2023 22:31,MA1,26.5
8/1/2023 23:01,MA1,26.5
8/1/2023 23:31,MA1,26.5
8/2/2023 0:01,MA1,26.375
8/2/2023 0:31,MA1,26.375
8/2/2023 1:01,MA1,26.375
8/2/2023 1:31,MA1,26.375
8/2/2023 2:01,MA1,26.375
8/2/2023 2:31,MA1,26.375
8/2/2023 3:01,MA1,26.25
8/2/2023 3:31,MA1,26.25
8/2/2023 4:01,MA1,26.25
8/2/2023 4:31,MA1,26.25
8/2/2023 5:01,MA1,26.375
8/2/2023 5:31,MA1,26.375
8/2/2023 6:01,MA1,26.25
8/2/2023 6:31,MA1,26.25
8/2/2023 7:01,MA1,26.25
8/2/2023 7:31,MA1,26.5
8/2/2023 8:01,MA1,26.625
8/2/2023 8:31,MA1,26.75
8/2/2023 9:01,MA1,26.875
8/2/2023 9:31,MA1,27
8/2/2023 10:01,MA1,27.125
8/2/2023 10:31,MA1,27.375
8/2/2023 11:01,MA1,27.5
8/2/2023 11:31,MA1,27.375
8/2/2023 12:01,MA1,27.25
8/2/2023 12:31,MA1,27.25
8/2/2023 13:01,MA1,27.25
8/2/2023 13:31,MA1,27.25
8/2/2023 14:01,MA1,27.375
8/2/2023 14:31,MA1,27.375
8/2/2023 15:01,MA1,27.25
8/2/2023 15:31,MA1,27.125
8/2/2023 16:01,MA1,27
8/2/2023 16:31,MA1,27
8/2/2023 17:01,MA1,27.25
8/2/2023 17:31,MA1,27.125
8/2/2023 18:01,MA1,26.875
8/2/2023 18:31,MA1,26.75
8/2/2023 19:01,MA1,26.625
8/2/2023 19:31,MA1,26.625
8/2/2023 20:01,MA1,26.5
8/2/2023 20:31,MA1,26.5
8/2/2023 21:01,MA1,26.5
8/2/2023 21:31,MA1,26.375
8/2/2023 22:01,MA1,26.375
8/2/2023 22:31,MA1,26.375
8/2/2023 23:01,MA1,26.375
8/2/2023 23:31,MA1,26.375
8/3/2023 0:01,MA1,26.375
8/3/2023 0:31,MA1,26.25
8/3/2023 1:01,MA1,26.25
8/3/2023 1:31,MA1,26.25
8/3/2023 2:01,MA1,26.25
8/3/2023 2:31,MA1,26.375
8/3/2023 3:01,MA1,26.25
8/3/2023 3:31,MA1,26.25
8/3/2023 4:01,MA1,26.25
8/3/2023 4:31,MA1,26.25
8/3/2023 5:01,MA1,26.375
8/3/2023 5:31,MA1,26.25
8/3/2023 6:01,MA1,26.25
8/3/2023 6:31,MA1,26.25
8/3/2023 7:01,MA1,26.375
8/3/2023 7:31,MA1,26.5
8/3/2023 8:01,MA1,26.625
8/3/2023 8:31,MA1,26.875
8/3/2023 9:01,MA1,26.875
8/3/2023 9:31,MA1,27
8/3/2023 10:01,MA1,27.25
8/3/2023 10:31,MA1,27.625
8/3/2023 11:01,MA1,27.75
8/3/2023 11:31,MA1,27.5
8/3/2023 12:01,MA1,27.25
8/3/2023 12:31,MA1,27.25
8/3/2023 13:01,MA1,27.125
8/3/2023 13:31,MA1,27
8/3/2023 14:01,MA1,27
8/3/2023 14:31,MA1,27
8/3/2023 15:01,MA1,27
8/3/2023 15:31,MA1,27
8/3/2023 16:01,MA1,27
8/3/2023 16:31,MA1,27
8/3/2023 17:01,MA1,27.125
8/3/2023 17:31,MA1,26.875
8/3/2023 18:01,MA1,26.875
8/3/2023 18:31,MA1,26.75
8/3/2023 19:01,MA1,26.625
8/3/2023 19:31,MA1,26.625
8/3/2023 20:01,MA1,26.5
8/3/2023 20:31,MA1,26.5
8/3/2023 21:01,MA1,26.5
8/3/2023 21:31,MA1,26.375
8/3/2023 22:01,MA1,26.375
8/3/2023 22:31,MA1,26.375
8/3/2023 23:01,MA1,26.375
8/3/2023 23:31,MA1,26.375
8/4/2023 0:01,MA1,26.375
8/4/2023 0:31,MA1,26.375
8/4/2023 1:01,MA1,26.25
8/4/2023 1:31,MA1,26.375
8/4/2023 2:01,MA1,26.375
8/4/2023 2:31,MA1,26.375
8/4/2023 3:01,MA1,26.375
8/4/2023 3:31,MA1,26.25
8/4/2023 4:01,MA1,26.25
8/4/2023 4:31,MA1,26.125
8/4/2023 5:01,MA1,26.25
8/4/2023 5:31,MA1,26.375
8/4/2023 6:01,MA1,26.375
8/4/2023 6:31,MA1,26.25
8/4/2023 7:01,MA1,26.375
8/4/2023 7:31,MA1,26.625
8/4/2023 8:01,MA1,26.625
8/4/2023 8:31,MA1,26.75
8/4/2023 9:01,MA1,26.75
8/4/2023 9:31,MA1,26.875
8/4/2023 10:01,MA1,27
8/4/2023 10:31,MA1,27
8/4/2023 11:01,MA1,27
8/4/2023 11:31,MA1,26.875
8/4/2023 12:01,MA1,26.875
8/4/2023 12:31,MA1,26.875
8/4/2023 13:01,MA1,27.375
8/4/2023 13:31,MA1,27.25
8/4/2023 14:01,MA1,27.25
8/4/2023 14:31,MA1,27.25
8/4/2023 15:01,MA1,27.125
8/4/2023 15:31,MA1,27.125
8/4/2023 16:01,MA1,27
8/4/2023 16:31,MA1,27
8/4/2023 17:01,MA1,27.25
8/4/2023 17:31,MA1,27
8/4/2023 18:01,MA1,26.75
8/4/2023 18:31,MA1,26.625
8/4/2023 19:01,MA1,26.625
8/4/2023 19:31,MA1,26.625
8/4/2023 20:01,MA1,26.5
8/4/2023 20:31,MA1,26.5
8/4/2023 21:01,MA1,26.375
8/4/2023 21:31,MA1,26.375
8/4/2023 22:01,MA1,26.375
8/4/2023 22:31,MA1,26.375
8/4/2023 23:01,MA1,26.375
8/4/2023 23:31,MA1,26.375
8/5/2023 0:01,MA1,26.25
8/5/2023 0:31,MA1,26.25
8/5/2023 1:01,MA1,26.375
8/5/2023 1:31,MA1,26.25
8/5/2023 2:01,MA1,26.125
8/5/2023 2:31,MA1,26.125
8/5/2023 3:01,MA1,26.125
8/5/2023 3:31,MA1,26.25
8/5/2023 4:01,MA1,26.25
8/5/2023 4:31,MA1,26.25
8/5/2023 5:01,MA1,26.25
8/5/2023 5:31,MA1,26.25
8/5/2023 6:01,MA1,26.25
8/5/2023 6:31,MA1,26.125
8/5/2023 7:01,MA1,26.25
8/5/2023 7:31,MA1,26.5
8/5/2023 8:01,MA1,26.5
8/5/2023 8:31,MA1,26.5
8/5/2023 9:01,MA1,26.625
8/5/2023 9:31,MA1,26.75
8/5/2023 10:01,MA1,27
8/5/2023 10:31,MA1,27.375
8/5/2023 11:01,MA1,27.5
8/5/2023 11:31,MA1,27.5
8/5/2023 12:01,MA1,27.375
8/5/2023 12:31,MA1,27.25
8/5/2023 13:01,MA1,27.375
8/5/2023 13:31,MA1,27.125
8/5/2023 14:01,MA1,27.25
8/5/2023 14:31,MA1,27.375
8/5/2023 15:01,MA1,27.25
8/5/2023 15:31,MA1,27.125
8/5/2023 16:01,MA1,27
8/5/2023 16:31,MA1,27.125
8/5/2023 17:01,MA1,27.125
8/5/2023 17:31,MA1,27
8/5/2023 18:01,MA1,26.875
8/5/2023 18:31,MA1,26.875
8/5/2023 19:01,MA1,26.75
8/5/2023 19:31,MA1,26.75
8/5/2023 20:01,MA1,26.625
8/5/2023 20:31,MA1,26.625
8/5/2023 21:01,MA1,26.625
8/5/2023 21:31,MA1,26.625
8/5/2023 22:01,MA1,26.625
8/5/2023 22:31,MA1,26.625
8/5/2023 23:01,MA1,26.625
8/5/2023 23:31,MA1,26.625
8/6/2023 0:01,MA1,26.625
8/6/2023 0:31,MA1,26.5
8/6/2023 1:01,MA1,26.375
8/6/2023 1:31,MA1,26.375
8/6/2023 2:01,MA1,26.375
8/6/2023 2:31,MA1,26.5
8/6/2023 3:01,MA1,26.5
8/6/2023 3:31,MA1,26.5
8/6/2023 4:01,MA1,26.5
8/6/2023 4:31,MA1,26.5
8/6/2023 5:01,MA1,26.5
8/6/2023 5:31,MA1,26.5
8/6/2023 6:01,MA1,26.5
8/6/2023 6:31,MA1,26.375
8/6/2023 7:01,MA1,26.25
8/6/2023 7:31,MA1,26.625
8/6/2023 8:01,MA1,26.875
8/6/2023 8:31,MA1,26.875
8/6/2023 9:01,MA1,26.875
8/6/2023 9:31,MA1,27
8/6/2023 10:01,MA1,27.25
8/6/2023 10:31,MA1,27.5
8/6/2023 11:01,MA1,27.625
8/6/2023 11:31,MA1,27.75
8/6/2023 12:01,MA1,28
8/6/2023 12:31,MA1,28
8/6/2023 13:01,MA1,28.125
8/6/2023 13:31,MA1,28.25
8/6/2023 14:01,MA1,28.25
8/6/2023 14:31,MA1,28
8/6/2023 15:01,MA1,27.75
8/6/2023 15:31,MA1,27.625
8/6/2023 16:01,MA1,27.5
8/6/2023 16:31,MA1,27.5
8/6/2023 17:01,MA1,27.5
8/6/2023 17:31,MA1,27.375
8/6/2023 18:01,MA1,27.25
8/6/2023 18:31,MA1,27.125
8/6/2023 19:01,MA1,27.125
8/6/2023 19:31,MA1,27
8/6/2023 20:01,MA1,26.875
8/6/2023 20:31,MA1,26.875
8/6/2023 21:01,MA1,26.875
8/6/2023 21:31,MA1,26.75
8/6/2023 22:01,MA1,26.75
8/6/2023 22:31,MA1,26.625
8/6/2023 23:01,MA1,26.625
8/6/2023 23:31,MA1,26.625
8/7/2023 0:01,MA1,26.625
8/7/2023 0:31,MA1,26.625
8/7/2023 1:01,MA1,26.625
8/7/2023 1:31,MA1,26.625
8/7/2023 2:01,MA1,26.625
8/7/2023 2:31,MA1,26.625
8/7/2023 3:01,MA1,26.75
8/7/2023 3:31,MA1,26.75
8/7/2023 4:01,MA1,26.75
8/7/2023 4:31,MA1,26.75
8/7/2023 5:01,MA1,26.75
8/7/2023 5:31,MA1,26.75
8/7/2023 6:01,MA1,26.75
8/7/2023 6:31,MA1,26.75
8/7/2023 7:01,MA1,26.875
8/7/2023 7:31,MA1,26.875
8/7/2023 8:01,MA1,26.875
8/7/2023 8:31,MA1,27
8/7/2023 9:01,MA1,27.125
8/7/2023 9:31,MA1,27
8/7/2023 10:01,MA1,26.625
8/7/2023 10:31,MA1,26.625
8/7/2023 11:01,MA1,27.25
8/7/2023 11:31,MA1,27.25
8/7/2023 12:01,MA1,27.625
8/7/2023 12:31,MA1,27.75
8/7/2023 13:01,MA1,28
8/7/2023 13:31,MA1,28.25
8/7/2023 14:01,MA1,28.375
8/7/2023 14:31,MA1,28.125
8/7/2023 15:01,MA1,27.875
8/7/2023 15:31,MA1,27.625
8/7/2023 16:01,MA1,27.5
8/7/2023 16:31,MA1,27.375
8/7/2023 17:01,MA1,27.25
8/7/2023 17:31,MA1,27.125
8/7/2023 18:01,MA1,27
8/7/2023 18:31,MA1,26.875
8/7/2023 19:01,MA1,26.75
8/7/2023 19:31,MA1,26.625
8/7/2023 20:01,MA1,26.625
8/7/2023 20:31,MA1,26.5
8/7/2023 21:01,MA1,26.5
8/7/2023 21:31,MA1,26.375
8/7/2023 22:01,MA1,26.375
8/7/2023 22:31,MA1,26.375
8/7/2023 23:01,MA1,26.25
8/7/2023 23:31,MA1,26.25
8/8/2023 0:01,MA1,26.125
8/8/2023 0:31,MA1,26.125
8/8/2023 1:01,MA1,26.125
8/8/2023 1:31,MA1,26
8/8/2023 2:01,MA1,26
