"","Frag.ID","Timepoint","Date","Treatment","Temperature","T.T","Weight","Temp","Salinity","sw_dens","skel_dens","dry_weight.g"
"50","M-4-10",0,"7/20/2023","I","HEAT","I-HEAT",9.888,25.1,53,1.03698865967124,2.93,15.3046309775242
"51","M-4-11",0,"7/20/2023","G","AMB","G-AMB",9.707,26.4,53.1,1.03663275902499,2.93,15.021655273466
"52","M-4-12",0,"7/20/2023","G","AMB","G-AMB",8.55,26.4,53.1,1.03663275902499,2.93,13.2311890994266
"53","M-4-15",0,"7/20/2023","G","HEAT","G-HEAT",10.274,25.1,53,1.03698865967124,2.93,15.9020811754736
"54","M-4-16",0,"7/20/2023","E","AMB","E-AMB",10.713,26.4,53.1,1.03663275902499,2.93,16.578447815457
"55","M-4-17",0,"7/20/2023","E","AMB","E-AMB",8.468,26.4,53.1,1.03663275902499,2.93,13.1042934846719
"56","M-4-2",0,"7/20/2023","C","AMB","C-AMB",9.466,26.4,53.1,1.03663275902499,2.93,14.6487059666868
"57","M-4-20",0,"7/20/2023","E","HEAT","E-HEAT",8.904,25.1,53,1.03698865967124,2.93,13.7815973122851
"58","M-4-22",0,"7/20/2023","C","HEAT","C-HEAT",8.052,25.1,53,1.03698865967124,2.93,12.4628730411635
"59","M-4-23",0,"7/20/2023","I","HEAT","I-HEAT",9.315,25.1,53,1.03698865967124,2.93,14.4177424712417
"60","M-4-24",0,"7/20/2023","G","HEAT","G-HEAT",8.509,25.1,53,1.03698865967124,2.93,13.1702169283731
"61","M-4-25",0,"7/20/2023","E","HEAT","E-HEAT",8.093,25.1,53,1.03698865967124,2.93,12.5263327772151
"62","M-4-5",0,"7/20/2023","C","HEAT","C-HEAT",8.484,25.1,53,1.03698865967124,2.93,13.131521967366
"63","M-4-6",0,"7/20/2023","I","AMB","I-AMB",9.646,26.4,53.1,1.03663275902499,2.93,14.9272573161484
"64","M-4-7",0,"7/20/2023","I","AMB","I-AMB",8.19,26.4,53.1,1.03663275902499,2.93,12.6740864005034
"65","M-5-1",0,"7/20/2023","C","AMB","C-AMB",8.19,26.4,53.1,1.03663275902499,2.93,12.6740864005034
"66","M-5-10",0,"7/20/2023","I","HEAT","I-HEAT",8.334,25.1,53,1.03698865967124,2.93,12.8993522013234
"67","M-5-11",0,"7/20/2023","G","AMB","G-AMB",9.178,26.4,53.1,1.03663275902499,2.93,14.2030238075482
"68","M-5-12",0,"7/20/2023","G","AMB","G-AMB",8.727,26.4,53.1,1.03663275902499,2.93,13.5050979263972
"69","M-5-15",0,"7/20/2023","G","HEAT","G-HEAT",7.481,25.1,53,1.03698865967124,2.93,11.5790801317615
"70","M-5-16",0,"7/20/2023","E","AMB","E-AMB",7.973,26.4,53.1,1.03663275902499,2.93,12.3382772736524
"71","M-5-17",0,"7/20/2023","E","AMB","E-AMB",10.518,26.4,53.1,1.03663275902499,2.93,16.2766838535402
"72","M-5-2",0,"7/20/2023","C","AMB","C-AMB",8.333,26.4,53.1,1.03663275902499,2.93,12.8953799725757
"73","M-5-20",0,"7/20/2023","E","HEAT","E-HEAT",9.008,25.1,53,1.03698865967124,2.93,13.9425683500746
"74","M-5-22",0,"7/20/2023","C","HEAT","C-HEAT",8.512,25.1,53,1.03698865967124,2.93,13.1748603236939
"75","M-5-23",0,"7/20/2023","I","HEAT","I-HEAT",11.69,25.1,53,1.03698865967124,2.93,18.0937637669152
"76","M-5-24",0,"7/20/2023","G","HEAT","G-HEAT",8.204,25.1,53,1.03698865967124,2.93,12.6981384040866
"77","M-5-25",0,"7/20/2023","E","HEAT","E-HEAT",8.59,25.1,53,1.03698865967124,2.93,13.295588602036
"78","M-5-5",0,"7/20/2023","C","HEAT","C-HEAT",9.364,25.1,53,1.03698865967124,2.93,14.4935845948155
"79","M-5-6",0,"7/20/2023","I","AMB","I-AMB",9.559,26.4,53.1,1.03663275902499,2.93,14.7926241639086
"80","M-5-7",0,"7/20/2023","I","AMB","I-AMB",8.754,26.4,53.1,1.03663275902499,2.93,13.5468806288164
"81","M-6-1",0,"7/20/2023","C","AMB","C-AMB",9.454,26.4,53.1,1.03663275902499,2.93,14.6301358767227
"82","M-6-10",0,"7/20/2023","I","HEAT","I-HEAT",10.406,25.1,53,1.03698865967124,2.93,16.106390569591
"83","M-6-11",0,"7/20/2023","G","AMB","G-AMB",8.986,26.4,53.1,1.03663275902499,2.93,13.9059023681225
"84","M-6-12",0,"7/20/2023","G","AMB","G-AMB",10.685,26.4,53.1,1.03663275902499,2.93,16.5351176055407
"85","M-6-15",0,"7/20/2023","G","HEAT","G-HEAT",8.408,25.1,53,1.03698865967124,2.93,13.0138892859044
"86","M-6-16",0,"7/20/2023","E","AMB","E-AMB",9.18,26.4,53.1,1.03663275902499,2.93,14.2061188225422
"87","M-6-17",0,"7/20/2023","E","AMB","E-AMB",10.168,26.4,53.1,1.03663275902499,2.93,15.7350562295871
"88","M-6-2",0,"7/20/2023","C","AMB","C-AMB",9.761,26.4,53.1,1.03663275902499,2.93,15.1052206783044
"89","M-6-20",0,"7/20/2023","E","HEAT","E-HEAT",9.395,25.1,53,1.03698865967124,2.93,14.5415663464643
"90","M-6-22",0,"7/20/2023","C","HEAT","C-HEAT",10.283,25.1,53,1.03698865967124,2.93,15.9160113614362
"91","M-6-23",0,"7/20/2023","I","HEAT","I-HEAT",10.012,25.1,53,1.03698865967124,2.93,15.4965579841193
"92","M-6-24",0,"7/20/2023","G","HEAT","G-HEAT",13.206,25.1,53,1.03698865967124,2.93,20.4402262023851
"93","M-6-25",0,"7/20/2023","E","HEAT","E-HEAT",9.886,25.1,53,1.03698865967124,2.93,15.3015353806436
"94","M-6-5",0,"7/20/2023","C","HEAT","C-HEAT",10.245,25.1,53,1.03698865967124,2.93,15.8571950207054
"95","M-6-6",0,"7/20/2023","I","AMB","I-AMB",9.95,26.4,53.1,1.03663275902499,2.93,15.3976995952391
"96","M-6-7",0,"7/20/2023","I","AMB","I-AMB",10.072,26.4,53.1,1.03663275902499,2.93,15.5864955098742
"97","M-7-1",0,"7/20/2023","C","AMB","C-AMB",8.42,26.4,53.1,1.03663275902499,2.93,13.0300131248154
"98","M-7-10",0,"7/20/2023","I","HEAT","I-HEAT",10.057,25.1,53,1.03698865967124,2.93,15.5662089139321
"99","M-7-11",0,"7/20/2023","G","AMB","G-AMB",9.812,26.4,53.1,1.03663275902499,2.93,15.1841435606519
"100","M-7-12",0,"7/20/2023","G","AMB","G-AMB",10.746,26.4,53.1,1.03663275902499,2.93,16.6295155628583
"101","M-7-15",0,"7/20/2023","G","HEAT","G-HEAT",9.263,25.1,53,1.03698865967124,2.93,14.3372569523469
"102","M-7-16",0,"7/20/2023","E","AMB","E-AMB",8.434,26.4,53.1,1.03663275902499,2.93,13.0516782297736
"103","M-7-17",0,"7/20/2023","E","AMB","E-AMB",10.187,26.4,53.1,1.03663275902499,2.93,15.7644588720303
"104","M-7-2",0,"7/20/2023","C","AMB","C-AMB",8.223,26.4,53.1,1.03663275902499,2.93,12.7251541479047
"105","M-7-20",0,"7/20/2023","E","HEAT","E-HEAT",10.093,25.1,53,1.03698865967124,2.93,15.6219296577823
"106","M-7-22",0,"7/20/2023","C","HEAT","C-HEAT",9.493,25.1,53,1.03698865967124,2.93,14.6932505936121
"107","M-7-23",0,"7/20/2023","I","HEAT","I-HEAT",8.25,25.1,53,1.03698865967124,2.93,12.7693371323396
"108","M-7-24",0,"7/20/2023","G","HEAT","G-HEAT",9.879,25.1,53,1.03698865967124,2.93,15.2907007915616
"109","M-7-25",0,"7/20/2023","E","HEAT","E-HEAT",8.517,25.1,53,1.03698865967124,2.93,13.1825993158953
"110","M-7-5",0,"7/20/2023","C","HEAT","C-HEAT",10.323,25.1,53,1.03698865967124,2.93,15.9779232990475
"111","M-7-6",0,"7/20/2023","I","AMB","I-AMB",9.464,26.4,53.1,1.03663275902499,2.93,14.6456109516928
"112","M-7-7",0,"7/20/2023","I","AMB","I-AMB",8.313,26.4,53.1,1.03663275902499,2.93,12.8644298226355
"113","M-8-1",0,"7/20/2023","C","AMB","C-AMB",10.244,26.4,53.1,1.03663275902499,2.93,15.8526667993598
"114","M-8-10",0,"7/20/2023","I","HEAT","I-HEAT",10.421,25.1,53,1.03698865967124,2.93,16.1296075461953
"115","M-8-11",0,"7/20/2023","G","AMB","G-AMB",10.561,26.4,53.1,1.03663275902499,2.93,16.3432266759116
"116","M-8-12",0,"7/20/2023","G","AMB","G-AMB",10.277,26.4,53.1,1.03663275902499,2.93,15.9037345467611
"117","M-8-15",0,"7/20/2023","G","HEAT","G-HEAT",12.604,25.1,53,1.03698865967124,2.93,19.5084515413344
"118","M-8-16",0,"7/20/2023","E","AMB","E-AMB",16.964,26.4,53.1,1.03663275902499,2.93,26.25191717926
"119","M-8-17",0,"7/20/2023","E","AMB","E-AMB",9.367,26.4,53.1,1.03663275902499,2.93,14.4955027244829
"120","M-8-2",0,"7/20/2023","C","AMB","C-AMB",8.169,26.4,53.1,1.03663275902499,2.93,12.6415887430662
"121","M-8-20",0,"7/20/2023","E","HEAT","E-HEAT",9.014,25.1,53,1.03698865967124,2.93,13.9518551407163
