Fragment ID,Timepoint,Treatment,Temperature,T-T,dry_mass_mg,dry_mass_g,surface_area_cm2
M-5-23,T3,I,HEAT,I-HEAT,148.1,0.1481,14.5055
M-6-23,T3,I,HEAT,I-HEAT,105.3,0.1053,9.6259
M-7-7,T3,I,HEAT,I-HEAT,198.6,0.1986,21.3545
M-8-23,T3,I,HEAT,I-HEAT,206,0.206,29.3106
M-9-23,T3,I,HEAT,I-HEAT,230.8,0.2308,34.411
M-1-25,T3,E,HEAT,E-HEAT,218.5,0.2185,27.4182
M-2-25,T3,E,HEAT,E-HEAT,179.15,0.17915,30.6068
M-3-25,T3,E,HEAT,E-HEAT,184.15,0.18415,23.6914
M-4-25,T3,E,HEAT,E-HEAT,186.4,0.1864,28.0482
M-5-25,T3,E,HEAT,E-HEAT,148,0.148,16.5099
M-6-25,T3,E,HEAT,E-HEAT,250.8,0.2508,40.4468
M-7-25,T3,E,HEAT,E-HEAT,179.95,0.17995,23.3409
M-8-25,T3,E,HEAT,E-HEAT,234.2,0.2342,27.9445
M-9-25,T3,E,HEAT,E-HEAT,229.5,0.2295,27.0392
