Timepoint,Fragment ,Treatment,Temperature,T-T,Height 1,Height 2,Height 3,H.AVG,Planar 1,Planar 2,Planar 3,P.AVG,SA,RGR
T3,P-9-23,I,HEAT,I-HEAT,2.768,2.776,2.776,2.7733,4.334,4.395,4.190,4.306,11.943,0.8777606975
T0,P-9-24,G,HEAT,G-HEAT,2.846,2.791,2.802,2.8130,6.720,6.797,6.704,6.740,18.961,1
T3,P-9-24,G,HEAT,G-HEAT,3.035,3.008,3.026,3.0230,5.995,6.135,6.091,6.074,18.361,0.9683625691
T0,P-9-25,E,HEAT,E-HEAT,3.394,3.332,3.322,3.3493,7.530,7.719,7.526,7.592,25.427,1
T3,P-9-25,E,HEAT,E-HEAT,3.438,3.458,3.458,3.4513,7.423,7.169,7.332,7.308,25.222,0.991950366
T0,P-9-5,C,HEAT,C-HEAT,3.223,3.15,3.202,3.1917,14.298,14.109,14.388,14.265,45.529,1
T3,P-9-5,C,HEAT,C-HEAT,4.294,4.263,4.254,4.2703,15.912,15.994,16.085,15.997,68.313,1.500413688
T0,P-9-6,I,AMB,I-AMB,3.14,3.141,3.12,3.1337,10.548,10.751,10.524,10.608,33.241,1
T3,P-9-6,I,AMB,I-AMB,3.572,3.572,3.563,3.5690,12.376,12.700,12.607,12.561,44.830,1.348646413
T0,P-9-7,I,AMB,I-AMB,4.012,4.032,4.002,4.0153,7.187,7.080,7.137,7.135,28.648,1
T3,P-9-7,I,AMB,I-AMB,4.204,4.176,4.223,4.2010,8.335,8.320,8.251,8.302,34.877,1.217419122
