Date,Time,TANK,LIGHT (PAR)
7/25/2023,8:00,MCAP AMB,43.3
7/25/2023,8:15,MCAP AMB,55.8
7/25/2023,8:30,MCAP AMB,70.3
7/25/2023,8:45,MCAP AMB,88.8
7/25/2023,9:00,MCAP AMB,78.2
7/25/2023,9:15,MCAP AMB,96.9
7/25/2023,9:30,MCAP AMB,65.5
7/25/2023,9:45,MCAP AMB,148.7
7/25/2023,10:00,MCAP AMB,204
7/25/2023,10:15,MCAP AMB,97.9
7/25/2023,10:30,MCAP AMB,564.3
7/25/2023,10:45,MCAP AMB,421.4
7/25/2023,11:00,MCAP AMB,98
7/25/2023,11:15,MCAP AMB,106.3
7/25/2023,11:30,MCAP AMB,319.4
7/25/2023,11:45,MCAP AMB,355.9
7/25/2023,12:00,MCAP AMB,459.9
7/25/2023,12:15,MCAP AMB,538.1
7/25/2023,12:30,MCAP AMB,367.5
7/25/2023,12:45,MCAP AMB,165
7/25/2023,13:00,MCAP AMB,137.3
7/25/2023,13:15,MCAP AMB,109.7
7/25/2023,13:30,MCAP AMB,321.8
7/25/2023,13:45,MCAP AMB,527.6
7/25/2023,14:00,MCAP AMB,590.7
7/25/2023,14:15,MCAP AMB,134.8
7/25/2023,14:30,MCAP AMB,268.5
7/25/2023,14:45,MCAP AMB,128
7/25/2023,15:00,MCAP AMB,145.5
7/25/2023,15:15,MCAP AMB,64.6
7/25/2023,15:30,MCAP AMB,73.9
7/25/2023,15:45,MCAP AMB,93.3
7/25/2023,16:00,MCAP AMB,89.5
7/25/2023,16:15,MCAP AMB,90.2
7/25/2023,16:30,MCAP AMB,91.4
7/25/2023,16:45,MCAP AMB,111.4
7/25/2023,17:00,MCAP AMB,55.6
7/25/2023,17:15,MCAP AMB,53.8
7/25/2023,17:30,MCAP AMB,41.2
7/25/2023,17:45,MCAP AMB,32.9
7/25/2023,18:00,MCAP AMB,22.7
7/25/2023,18:15,MCAP AMB,24.7
7/25/2023,18:30,MCAP AMB,14.5
7/25/2023,18:45,MCAP AMB,9.6
7/25/2023,19:00,MCAP AMB,4.4
7/25/2023,19:15,MCAP AMB,1.4
7/25/2023,19:30,MCAP AMB,0.3
7/25/2023,19:45,MCAP AMB,0
7/25/2023,20:00,MCAP AMB,0
7/25/2023,20:15,MCAP AMB,0
7/25/2023,20:30,MCAP AMB,0
7/25/2023,20:45,MCAP AMB,0
7/25/2023,21:00,MCAP AMB,0
7/25/2023,21:15,MCAP AMB,0
7/25/2023,21:30,MCAP AMB,0
7/25/2023,21:45,MCAP AMB,0
7/25/2023,22:00,MCAP AMB,0
7/25/2023,22:15,MCAP AMB,0
7/25/2023,22:30,MCAP AMB,0
7/25/2023,22:45,MCAP AMB,0
7/25/2023,23:00,MCAP AMB,0
7/25/2023,23:15,MCAP AMB,0
7/25/2023,23:30,MCAP AMB,0
7/25/2023,23:45,MCAP AMB,0
7/25/2023,0:00,MCAP AMB,0
7/26/2023,0:15,MCAP AMB,0
7/26/2023,0:30,MCAP AMB,0
7/26/2023,0:45,MCAP AMB,0
7/26/2023,1:00,MCAP AMB,0
7/26/2023,1:15,MCAP AMB,0
7/26/2023,1:30,MCAP AMB,0
7/26/2023,1:45,MCAP AMB,0
7/26/2023,2:00,MCAP AMB,0
7/26/2023,2:15,MCAP AMB,0
7/26/2023,2:30,MCAP AMB,0
7/26/2023,2:45,MCAP AMB,0
7/26/2023,3:00,MCAP AMB,0
7/26/2023,3:15,MCAP AMB,0
7/26/2023,3:30,MCAP AMB,0
7/26/2023,3:45,MCAP AMB,0
7/26/2023,4:00,MCAP AMB,0
7/26/2023,4:15,MCAP AMB,0
7/26/2023,4:30,MCAP AMB,0
7/26/2023,4:45,MCAP AMB,0
7/26/2023,5:00,MCAP AMB,0
7/26/2023,5:15,MCAP AMB,0
7/26/2023,5:30,MCAP AMB,0
7/26/2023,5:45,MCAP AMB,0
7/26/2023,6:00,MCAP AMB,0
7/26/2023,6:15,MCAP AMB,1.1
7/26/2023,6:30,MCAP AMB,3.8
7/26/2023,6:45,MCAP AMB,10.6
7/26/2023,7:00,MCAP AMB,12.7
7/26/2023,7:15,MCAP AMB,23.7
7/26/2023,7:30,MCAP AMB,31.8
7/26/2023,7:45,MCAP AMB,52.4
7/26/2023,8:00,MCAP AMB,74.9
7/26/2023,8:15,MCAP AMB,61
7/26/2023,8:30,MCAP AMB,79.7
7/26/2023,8:45,MCAP AMB,73.8
7/26/2023,9:00,MCAP AMB,91.7
7/26/2023,9:15,MCAP AMB,100.4
7/26/2023,9:30,MCAP AMB,147
7/26/2023,9:45,MCAP AMB,235.2
7/26/2023,10:00,MCAP AMB,158.3
7/26/2023,10:15,MCAP AMB,166.2
7/26/2023,10:30,MCAP AMB,436.9
7/26/2023,10:45,MCAP AMB,586.4
7/26/2023,11:00,MCAP AMB,137.4
7/26/2023,11:15,MCAP AMB,110.5
7/26/2023,11:30,MCAP AMB,186.8
7/26/2023,11:45,MCAP AMB,360.2
7/26/2023,12:00,MCAP AMB,284
7/26/2023,12:15,MCAP AMB,313.7
7/26/2023,12:30,MCAP AMB,168.8
7/26/2023,12:45,MCAP AMB,119.5
7/26/2023,13:00,MCAP AMB,154.4
7/26/2023,13:15,MCAP AMB,250.4
7/26/2023,13:30,MCAP AMB,265.2
7/26/2023,13:45,MCAP AMB,268.4
7/26/2023,14:00,MCAP AMB,275.6
7/26/2023,14:15,MCAP AMB,177.8
7/26/2023,14:30,MCAP AMB,167.5
7/26/2023,14:45,MCAP AMB,142.4
7/26/2023,15:00,MCAP AMB,109.4
7/26/2023,15:15,MCAP AMB,67.9
7/26/2023,15:30,MCAP AMB,70.2
